codimuni,codicomarca,provincia,comarca,partitjudicial,municipi,poblacio,homes,dones,greus,moltgreus,siadmuni,siadsnombre,siadstitularitat,tasadenuncia,estimaciodenuncies,tasaateses,estimacioateses,tasaatesesvm
171616,19,Girona,Garrotxa,Olot,Sant Feliu de Pallerols,1343,648,599,37,14,No,1,el Consell Comarcal,6.69,2,6.76,2,43.7
172082,19,Girona,Garrotxa,Olot,la Vall de Bianya,1286,651,535,33,12,No,1,el Consell Comarcal,6.69,2,6.76,2,43.7
170464,19,Girona,Garrotxa,Olot,Castellfollit de la Roca,956,486,415,25,10,No,1,el Consell Comarcal,6.69,2,6.76,2,43.7
171096,19,Girona,Garrotxa,Olot,Montagut i Oix,899,475,361,22,8,No,1,el Consell Comarcal,6.69,1,6.76,1,43.7
171655,19,Girona,Garrotxa,Olot,Sant Jaume de Llierca,840,406,379,23,9,No,1,el Consell Comarcal,6.69,2,6.76,2,43.7
172001,19,Girona,Garrotxa,Olot,Tortellà,801,390,350,21,8,No,1,el Consell Comarcal,6.69,1,6.76,1,43.7
171498,19,Girona,Garrotxa,Olot,Riudaura,462,224,193,12,4,No,1,el Consell Comarcal,6.69,1,6.76,1,43.7
170101,19,Girona,Garrotxa,Olot,Argelaguer,423,219,181,11,4,No,1,el Consell Comarcal,6.69,1,6.76,1,43.7
170985,19,Girona,Garrotxa,Olot,Maià de Montcal,413,217,162,10,4,No,1,el Consell Comarcal,6.69,1,6.76,1,43.7
171833,19,Girona,Garrotxa,Olot,Sant Aniol de Finestres,351,186,137,8,3,No,1,el Consell Comarcal,6.69,1,6.76,1,43.7
171058,19,Girona,Garrotxa,Olot,Mieres,312,159,132,8,3,No,1,el Consell Comarcal,6.69,1,6.76,1,43.7
171621,19,Girona,Garrotxa,Olot,Sant Ferriol,245,125,93,6,2,No,1,el Consell Comarcal,6.69,0,6.76,0,43.7
170216,19,Girona,Garrotxa,Olot,Beuda,187,101,70,4,2,No,1,el Consell Comarcal,6.69,0,6.76,0,43.7
171544,19,Girona,Garrotxa,Olot,Sales de Llierca,151,76,59,4,1,No,1,el Consell Comarcal,6.69,0,6.76,0,43.7
80771,11,Barcelona,Baix Llobregat,Esplugues de Llobregat,Esplugues de Llobregat,46355,22144,21084,1286,485,Esplugues de Llobregat,1,l'Ajuntament,6.5,84,7.5,96,33.3
82212,11,Barcelona,Baix Llobregat,Esplugues de Llobregat,Sant Just Desvern,17494,8361,7669,468,176,No,1,el Consell Comarcal,6.5,30,7.5,35,33.3
430939,30,Tarragona,Ribera d'Ebre,Gandesa,Móra d'Ebre,5642,2798,2435,149,56,Móra d'Ebre,1,el Consell Comarcal,6.17,9,1.55,2,7.1
430192,30,Tarragona,Ribera d'Ebre,Gandesa,Ascó,1674,871,711,43,16,No,1,el Consell Comarcal,6.17,3,1.55,1,7.1
430265,30,Tarragona,Ribera d'Ebre,Gandesa,Benissanet,1142,620,456,28,10,No,1,el Consell Comarcal,6.17,2,1.55,0,7.1
431212,30,Tarragona,Ribera d'Ebre,Gandesa,Rasquera,787,387,358,22,8,No,1,el Consell Comarcal,6.17,1,1.55,0,7.1
430672,30,Tarragona,Ribera d'Ebre,Gandesa,Ginestar,762,403,333,20,8,No,1,el Consell Comarcal,6.17,1,1.55,0,7.1
